subject,relation,object
诺里尔斯克地区,成矿作用,岩浆在上升过程中与围岩发生反应，硫化物分离并富集
诺里尔斯克地区,矿石特征,块状矿石、浸染状矿石、低硫化物富PGE矿石
诺里尔斯克地区,成矿模式,岩浆通道系统中硫化物与岩浆的相互作用
苏必利尔湖地区,地质特征,位于加拿大太古宙地盾南缘，受裂谷作用影响
苏必利尔湖地区,矿床类型,德卢斯杂岩中的Cu-Ni矿化
苏必利尔湖地区,成矿环境,与溢流玄武岩省相似，岩浆通道系统中的硫化物富集
贝辰加地区,地质背景,与早元古宙断裂体系有关的矿床
贝辰加地区,矿床类型,Ni-Cu矿床
贝辰加地区,构造特征,贝辰加-瓦尔朱格沉积-火山岩带
贝辰加地区,成矿环境,受控于日丹诺夫岩套的沉积岩
贝辰加地区,成矿岩浆,富铁苦橄岩和辉长岩-异剥橄榄岩侵入体
贝辰加地区,成矿机制,岩浆与围岩反应，硫化物不混溶，亲铜元素富集
贝辰加地区,矿石特征,块状、浸染状、角砾状、条带状矿石
贝辰加地区,硫同位素特征,西部成矿带与球粒陨石相近，东部成矿带富重硫
贝辰加地区,Re-Os同位素特征,显示大量矿石中的Os经历高压环境，非地幔Re/Os比
沃尔斯贝地区,地质背景,位于加拿大拉布拉多地区，与1.334 Ga前的沃尔斯贝侵入岩有关
沃尔斯贝地区,矿床类型,Ni-Cu-Co硫化物矿床
沃尔斯贝地区,成矿环境,侵入岩体与围岩的相互作用
沃尔斯贝地区,矿石特征,块状、浸染状硫化物矿石
沃尔斯贝地区,成矿机制,岩浆通道系统中硫化物与岩浆的相互作用
沃尔斯贝地区,矿体分布,东深部岩浆房、奥韦尔德、小奥韦尔德、发现山矿区、瑞德布鲁克矿区
沃尔斯贝地区,岩石类型,橄榄辉长岩、浅色橄榄长岩、通道橄榄辉长岩、普通橄榄长岩、不同结构橄榄长岩
沃尔斯贝地区,成矿关键,岩浆上升过程中硫化物的富集和分离
岩浆硫化物矿床,硫化物不混溶的条件,岩浆中硫化物达到饱和状态，且岩浆与围岩发生反应
岩浆硫化物矿床,硫化物富集的机制,硫化物液体与硅酸盐岩浆分离，亲铜元素富集
岩浆硫化物矿床,成矿关键因素,岩浆类型、构造背景、硫的外部来源
岩浆硫化物矿床,成矿专属性,与镁铁岩或超镁铁岩密切相关
岩浆硫化物矿床,成矿过程,硫化物液体与硅酸盐岩浆分离，亲铜元素富集
岩浆硫化物矿床,成矿环境,岩浆通道系统中的硫化物富集
岩浆硫化物矿床,成矿机制,岩浆与围岩的相互作用，硫化物不混溶和富集
岩浆硫化物矿床,成矿关键,岩浆中硫化物的富集和分离
岩浆硫化物矿床,成矿背景,与镁铁岩或超镁铁岩密切相关
岩浆硫化物矿床,成矿过程,硫化物液体与硅酸盐岩浆分离，亲铜元素富集
岩浆硫化物矿床,成矿环境,岩浆通道系统中的硫化物富集
岩浆硫化物矿床,成矿机制,岩浆与围岩的相互作用，硫化物不混溶和富集
岩浆硫化物矿床,成矿关键,岩浆中硫化物的富集和分离
岩浆硫化物矿床,成矿背景,与镁铁岩或超镁铁岩密切相关
岩浆硫化物矿床,成矿过程,硫化物液体与硅酸盐岩浆分离，亲铜元素富集
岩浆硫化物矿床,成矿环境,岩浆通道系统中的硫化物富集
岩浆硫化物矿床,成矿机制,岩浆与围岩的相互作用，硫化物不混溶和富集
岩浆硫化物矿床,成矿关键,岩浆中硫化物的富集和分离
岩浆硫化物矿床,成矿背景,与镁铁岩或超镁铁岩密切相关
岩浆硫化物矿床,成矿过程,硫化物液体与硅酸盐岩浆分离，亲铜元素富集
岩浆硫化物矿床,硫化物不混溶的条件,岩浆中硫化物达到饱和状态，且岩浆与围岩发生反应
岩浆硫化物矿床,硫化物富集的机制,硫化物液体与硅酸盐岩浆分离，亲铜元素富集
岩浆硫化物矿床,成矿关键因素,岩浆类型、构造背景、硫的外部来源
岩浆硫化物矿床,成矿专属性,与镁铁岩或超镁铁岩密切相关
岩浆硫化物矿床,成矿过程,硫化物液体与硅酸盐岩浆分离，亲铜元素富集
岩浆硫化物矿床,成矿环境,岩浆通道系统中的硫化物富集
岩浆硫化物矿床,成矿机制,岩浆与围岩的相互作用，硫化物不混溶和富集
岩浆硫化物矿床,成矿关键,岩浆中硫化物的富集和分离
岩浆硫化物矿床,成矿背景,与镁铁岩或超镁铁岩密切相关
岩浆硫化物矿床,成矿过程,硫化物液体与硅酸盐岩浆分离，亲铜元素富集
岩浆硫化物矿床,成矿环境,岩浆通道系统中的硫化物富集
岩浆硫化物矿床,成矿机制,岩浆与围岩的相互作用，硫化物不混溶和富集
岩浆硫化物矿床,成矿关键,岩浆中硫化物的富集和分离
岩浆硫化物矿床,成矿背景,与镁铁岩或超镁铁岩密切相关
岩浆硫化物矿床,成矿过程,硫化物液体与硅酸盐岩浆分离，亲铜元素富集
岩浆硫化物矿床,成矿环境,岩浆通道系统中的硫化物富集
岩浆硫化物矿床,成矿机制,岩浆与围岩的相互作用，硫化物不混溶和富集
岩浆硫化物矿床,成矿关键,岩浆中硫化物的富集和分离
岩浆硫化物矿床,成矿背景,与镁铁岩或超镁铁岩密切相关
岩浆硫化物矿床,成矿过程,硫化物液体与硅酸盐岩浆分离，亲铜元素富集
