subject,relation,object
Chukotat组,形成于,深海环境
拉格伦矿区,矿石类型为,浸染状硫化物
浸染状硫化物,含有,镍黄铁矿
岩浆通道,形成,橄榄岩带
橄榄岩带,向上延伸为,科马提玄武岩
Perseverance矿床,受,热侵蚀限制
热侵蚀,阻止,底部玄武岩持续融化
溢流玄武岩省,包含,诺里尔斯克地区
诺里尔斯克地区,含有,塔尔纳赫矿床
塔尔纳赫矿床,矿产类型,Ni-Cu-PGE矿床
Ni-Cu-PGE矿床,主要矿物,硫化物
硫化物,形成机制,地壳混染作用
地壳混染作用,关联同位素,Sr同位素
地壳混染作用,关联同位素,Nd同位素
诺里尔斯克-Kharaelakh断层,控制,矿体分布
诺里尔斯克-Kharaelakh断层,属于,北东向构造
岩浆作用,导致,硫化物不混溶
硫化物不混溶,受控于,硫同位素分馏
硫同位素分馏,数据范围,δ³⁴S +5‰至+15‰
苦橄质玄武岩,含矿物,橄榄石斑晶
橄榄石斑晶,化学特征,Fo值变化
塔尔纳赫侵入体,岩石类型,斑杂状辉长辉绿岩
斑杂状辉长辉绿岩,含矿层位,底部接触带
块状矿石,赋存位置,侵入体底部围岩
铜晕状矿石,分布特征,块状矿石外围
PGE富集,关联元素,Cr尖晶石
Th/U比值,指示,岩浆混合过程
岩浆房,分异作用,形成浅色辉长岩
热液活动,影响,硫化物再分配
诺里尔斯克地区,构造背景,西伯利亚地台西北角
西伯利亚暗色岩系,包含,Tunguska盆地
Tunguska盆地,火山序列厚度,2000-3000米
火山岩地层,划分依据,主量元素/微量元素
Gd/Yb比值,区分,岩浆类型
硫化物熔体,润湿能力,受Cu含量影响
矿化侵入体,通道作用,火山岩浆流通
边缘岩席,成因,主岩体岩枝扩展
硫同位素,来源,蒸发岩同化
克拉通边界,拉张环境,促进裂缝延伸
地幔柱模型,争议,西伯利亚大火成岩省
岩浆混合,证据,Th/Ta-La/Sm图解
分离结晶,导致,亲铜元素亏损
硫化物熔离,关键因素,硫饱和状态
火山作用高峰期,对应,生物大灭绝事件
贝辰加矿床,位于,俄罗斯贝辰加地区
贝辰加构造带,包含,北贝辰加带
贝辰加构造带,包含,南贝辰加带
北贝辰加带,构造类型为,单斜层
南贝辰加带,构造类型为,强烈变形带
贝辰加-瓦尔朱格构造,延伸至,依曼德-瓦尔朱格构造中东部
贝辰加构造带,被分割为,迫日塔什断层
贝辰加构造带,形成于,早元古宙断裂体系
贝辰加矿床,与岩浆活动相关,富铁苦橄岩
富铁苦橄岩,同位素年龄约为,2.0 Ga
辉长岩-异剥橄榄岩侵入体,同位素年龄为,1.980±0.010 Ga
贝辰加构造带,含有,日丹诺夫岩套
日丹诺夫岩套,控制矿化,镍硫化物矿床
皮尔咖加维矿床,属于,巨型Ni-Cu矿床
卡米基维矿床,属于,中型Ni-Cu矿床
辉长岩-异剥橄榄岩侵入体,侵入于,日丹诺夫岩套
富铁苦橄岩,地球化学特征为,MgO含量高
富铁苦橄岩,稀土元素分馏特征为,(La/Yb)_N≈10
贝辰加矿床,成因模式涉及,地幔源区岩浆
贝辰加构造带,受变形影响,绿片岩-闪岩化变质作用
北贝辰加带,沉积火山岩厚度超过,10 km
南贝辰加带,沉积火山岩厚度达,2500-3000 m
日丹诺夫岩套,富集,硫化物和含碳物质
富铁苦橄岩,形成结构,鬣刺结构
贝辰加矿床,主要矿物包含,磁黄铁矿
贝辰加矿床,主要矿物包含,镍黄铁矿
贝辰加矿床,主要矿物包含,黄铜矿
贝辰加矿石,含次要矿物,紫硫镍矿
贝辰加矿石,含次要矿物,铂族矿物
西部矿带,硫同位素δ^34S值为,-3‰~+6‰
东部矿带,硫同位素δ^34S值为,+1‰~+8.5‰
皮尔咖加维岩体,垂向分为,7个带
贝辰加矿床,受控于,科拉斯基断层
富铁苦橄质火山灰中心,包含,考拉中心和皮尔咖加维中心
贝辰加矿区,Re-Os同位素显示,壳源锇混染
卡米基维岩床,γOs值约为,250
贝辰加矿床,成矿模式涉及,硫化物熔体分离
贝辰加构造带,关联洋盆闭合事件,岛弧岩石形成
沃尔斯贝矿床,属于,加拿大拉布拉多地区
Albert Chislet,发现,铁帽矿化点
Chris Verbisk,发现,铁帽矿化点
钻石矿业资源有限公司,委派,Albert Chislet
钻石矿业资源有限公司,委派,Chris Verbisk
1994年钻探项目,发现,稠密浸染状-块状硫化物矿石
稠密浸染状-块状硫化物矿石,含有,Ni
稠密浸染状-块状硫化物矿石,含有,Cu
稠密浸染状-块状硫化物矿石,含有,Co
东深部矿床,发现于,1995年11月
INCO公司,获得,东深部矿床探矿权
沃尔斯贝侵入体,属于,Nail深成岩套
Nail深成岩套,横切,1.85 Ga碰撞带
塔苏亚克片麻岩,属于,丘吉尔省
阿伯韦拉韧性剪切带,活动时限,1.73~1.75 Ga
沃尔斯贝侵入体,包含,顶部岩浆房
顶部岩浆房,由组成,橄榄辉长岩
顶部岩浆房,由组成,橄长岩
奥韦尔德,位于,东深部底部
小奥韦尔德,位于,奥韦尔德西部
通道橄榄辉长岩,含有,斜长石
普通橄长岩,含有,橄榄石
普通橄长岩,含有,斜长石
不同结构橄长岩,含有,片麻岩包体
斑状橄长岩,含有,单斜辉石
火山角砾岩,包含,片麻岩碎片
火山角砾岩,包含,超基性岩
火山角砾岩,包含,贫硫橄长岩
铁质辉长岩,由组成,单斜辉石
铁质辉长岩,由组成,角闪石
Li和Naldrett,研究,橄榄石成分
橄榄石,成分变化,镁橄榄石
橄榄石,Ni含量,随Fo值降低而减少
沃尔斯贝侵入体,富集,轻稀土元素
沃尔斯贝侵入体,富集,大离子亲石元素
塔苏亚克片麻岩,混染,沃尔斯贝岩浆
Re-Os同位素,显示,壳源混染
块状硫化物矿石,由组成,磁黄铁矿
块状硫化物矿石,由组成,镍黄铁矿
块状硫化物矿石,由组成,方黄铜矿
斑状硫化物矿石,特征,硫化物基质
火山角砾矿化,包含,硫化物斑块
浸染状矿化,分布于,不同结构橄长岩
盘茨湖矿区,位于,沃尔斯贝以南80km
盘茨湖矿区,矿化类型,浸染状硫化物
Kiglapait侵入体,属于,Nain火成岩套
Kiglapait侵入体,矿化,边缘辉石岩
斜长石混杂岩,包含,镁铁质岩裂隙
铁闪长岩,矿化,低Ni高Cu
耐尔火成岩带,关联,沃尔斯贝矿床
耐尔火成岩带,关联,盘茨湖矿区
耐尔火成岩带,关联,Kiglapait侵入体
通道系统,促进,硫化物富集
塔苏亚克片麻岩,提供,硫化物源
硫化物熔离,导致,亲硫元素亏损
单硫化物固溶体,分离结晶,富Cu流体
沃尔斯贝岩浆,混染,塔苏亚克片麻岩
瑞德布鲁克矿区,矿化,块状硫化物脉
钻孔166,位于,东深部侵入体入口
钻孔202,穿透,块状硫化物矿石
硫同位素,δ³⁴S值,反映围岩硫源
沃尔斯贝模型,包含,垂直岩浆房系统
橄榄石Ni亏损,指示,硫化物饱和
Cu/Zr比率,指示,岩浆硫化物反应
中国金川矿床,位于,中国西北部
中国金川矿床,属于,镍铜矿床
中国金川矿床,镍铜储量,500×10^6吨
中国金川矿床,镍品位,1.2%
中国金川矿床,铜品位,0.7%
中国金川矿床,镍铜比,1.76
中国金川矿床,PGE富集程度,中等
中国金川矿床,硫化物矿石金含量,1g/t
中国金川矿床,铂钯镍铜比范围,0.04至0.45
中国金川矿床,主岩类型,超镁铁岩类（纯橄榄岩至橄榄辉石岩）
中国金川矿床,成因争议,氧化镁含量大于30%的超镁铁岩形成
金川岩体,侵入于,白家嘴子组大理岩和片麻岩
金川岩体,走向,北西
金川岩体,长度,6000米
金川岩体,平均宽度,300米
金川岩体,延伸深度,超过1000米
金川岩体,划分依据,断层及勘探顺序
金川岩体,次岩浆房,西部横向区域部分
金川岩体,次岩浆房,东部纵向层状部分
西部横向区域部分,包含,西部次岩浆房
西部横向区域部分,包含,中西部次岩浆房
纯橄榄岩,硫化物含量,8%~30%
纯橄榄岩,橄榄石含量,70%~90%
纯橄榄岩,辉石含量,1%~8%
二辉橄榄岩,占岩体体积,80%
二辉橄榄岩,橄榄石含量,40%~85%
斜长二辉橄榄岩,斜长石含量,3%~10%
橄榄辉石岩,橄榄石含量,10%~40%
金川岩体岩石,主量元素特征,MgO含量24%~42%
纯橄榄岩,MgO含量,39%~42%
二辉橄榄岩,MgO含量,26%~39%
橄榄辉石岩,MgO含量,25%
岩石地球化学,元素协变趋势,SiO₂、Al₂O₃、CaO、TiO₂随MgO增加减少
稀土元素配分型式,指示源岩浆成分,玄武岩质
母岩浆,MgO/(MgO+FeO)比值,0.64
金川岩体,分异过程,流动分异（西部）与重力分异（东部）
24号矿体,矿石类型,浸染状和网脉状
1号矿体,储量占比,超过总储量一半
2号矿体,镍富集比例,59%
矿石矿物,包含,磁黄铁矿
矿石矿物,包含,镍黄铁矿
矿石矿物,包含,黄铜矿
PGE矿物,包含,砷铂矿
PGE矿物,包含,砂铂矿
PGE矿物,包含,碲镍矿
硫化物比例,磁黄铁矿:镍黄铁矿:黄铜矿,7:2:1
Chai等(1992a),提出,岩浆房分层模型
Li等(2003b),研究,橄榄石成分演化
汤中立(1990-2002),描述,矿床特征
甘肃省地质勘查局,完成,填图与勘探
萨德伯里杂岩体,组成单元,杂岩体主体
萨德伯里杂岩体,组成单元,亚层
萨德伯里杂岩体,组成单元,枝脉体
杂岩体主体,岩石类型,边缘相岩石
边缘相岩石,包含,富石英苏长岩（南部）
边缘相岩石,包含,镁铁质苏长岩（北部）
杂岩体主体,岩石类型,石英辉长岩
杂岩体主体,岩石类型,花斑岩
花斑岩,特征,富斜长石
富石英苏长岩,特征,SiO₂含量梯度变化
富石英苏长岩,成因机制,分离结晶作用
镁铁质苏长岩,特征,含30%-50%紫苏辉石
亚层,分布特征,不连续
亚层,组成,中细粒苏长岩
亚层,组成,辉长岩
暗色苏长岩,成因,斑状苏长岩斑晶聚集
亚层,包含,超镁铁质包裹体
超镁铁质包裹体,类型,橄榄岩
超镁铁质包裹体,类型,单斜辉石岩
枝脉体,组成,石英闪长岩
枝脉体,延伸特征,放射状岩墙
萨德伯里杂岩体,同位素年龄,1.85 Ga
萨德伯里杂岩体,同位素特征,低放射成因Nd
萨德伯里杂岩体,同位素特征,高Sr同位素
硫化物矿体,分类,北缘接触带矿床
硫化物矿体,分类,南缘接触带矿床
硫化物矿体,分类,枝脉状矿床
Stratheona矿床,矿石类型,块状硫化物脉体
Stratheona矿床,特征,富Pt-Pd-Au
Creighton矿床,特征,开采深度2500m
Frood-Stobie矿床,特征,最大枝脉状矿体
磁黄铁矿,晶体结构,低温单斜晶系
磁黄铁矿,晶体结构,高温六方晶系
镍黄铁矿,赋存状态,磁黄铁矿三联点集合体
黄铜矿,赋存特征,含方黄铜矿出溶页片
铂族矿物,代表矿物,砷铂矿
铂族矿物,代表矿物,铋碲钯矿
陨击事件,形成产物,Sudbury角砾岩
陨击事件,形成产物,Onaping建造
萨德伯里杂岩体,形成模型,双岩浆层结构
双岩浆层结构,上层,花斑岩层
双岩浆层结构,下层,苏长岩层
硫化物熔离,控制因素,岩浆对流作用
硫化物熔离,阶段特征,多期次金属分异
Naldrett,研究结论,玄武岩与陆壳同化混染
Lightfoot,研究结论,单一岩浆事件成因
Chai-Eckstrand,研究结论,不同岩浆源区
铂族元素(PGE)矿床,属于,岩浆硫化物矿床
铂族元素(PGE),来源于,地幔
铂族元素(PGE),来源于,地核
铂族元素(PGE),分配形式,地幔岩浆
铂族元素(PGE),迁移形式,地幔岩浆
镁铁质-超镁铁质熔岩,含有,铂族元素(PGE)
Crocket (2002),研究,幔源岩石
Cl球粒陨石标准化图解,显示,平均地幔岩值
造山二辉模模岩,区别于,受多期变质作用的超基性岩体
蛇绿岩,形成于,汇聚板块边缘
蛇绿岩,来源于,地幔楔
碱性玄武岩喷发区,携带,大陆岩石圈信息
PGE+Au丰度,约为,Cl球粒陨石标准的1/200
尖晶石二辉橄榄岩,对比对象,幔源火成岩
科马提岩,富集,Pd
科马提岩,富集,Pt
科马提岩,富集,Cu
洋岛玄武岩,相似于,大陆溢流玄武岩
MORB,含有,Pt和Pd的1/10
硫化物分异,导致,PGE保留在源区
北大西洋大火成岩省(NAIP),属于,基性-超基性火成岩省
Andersen等(2002),分析,NAIP岩浆源
MgO含量,用于判断,硫化物饱和状态
N-MORB,显示,硫化物饱和趋势
冰岛玄武岩,具有,硫化物饱和和不饱和趋势
布什维尔德杂岩体,含有,梅林斯基矿层
梅林斯基矿层,富集,Pt和Pd
UG-2铬铁矿层,富集,Os、Ir和Ru
层状侵入体,包含,浸染状硫化物
硫化物岩浆分离结晶,导致,Ni-Cu硫化物矿
R因子,影响,硫化物组成
萨德伯里矿床,属于,岩浆硫化物矿床
诺里尔斯克矿床,属于,岩浆硫化物矿床
热液作用,导致,PGE再分配
Ural-Alaskan型侵入体,产出,富Pt冲积矿
Volkovsky矿床,含,钛磁铁矿-磷灰石矿化
Lac des Iles杂岩体,产出,热液型PGE矿
斯蒂尔沃特杂岩体,含有,J-M矿脉
津巴布韦大岩墙,赋存,MSZ和LSZ硫化物矿区
Portimo杂岩体,包含,边缘系列硫化物矿
Koillissima杂岩体,形成于,元古宙裂谷作用
萨德伯里区侵入体,与,Penokean洋打开相关
Skaergaard侵入体,产出,Platinova矿
Kap Edvard Holm侵入体,含有,Willow Ridge矿
Sonju Lake侵入体,显示,硫化物饱和趋势
层状矿床成矿模式,涉及,岩浆混合作用
铬铁矿结晶,伴随,硫化物融离
Ni-Cu硫化物矿床,形成条件,岩浆硫过饱和
岩浆硫化物矿床,关键因素,亲铜元素富集
岩浆硫化物矿床,关键因素,硫过饱和
岩浆硫化物矿床,关键因素,硫化物聚集
岩浆硫化物矿床,关键因素,岩浆与围岩相互作用
岩浆硫化物矿床,赋存位置,火成岩体底部
岩浆硫化物矿床,控制因素,压力降低
岩浆硫化物矿床,控制因素,温度变化
岩浆硫化物矿床,控制因素,FeO+TiO₂含量
岩浆硫化物矿床,控制因素,氧逸度
岩浆硫化物矿床,控制因素,铁镁质/长英质比例
Ni-Cu矿床,勘查方法,航磁测量
Ni-Cu矿床,赋存特征,侵入体基底接触
Ni-Cu矿床,构造背景,地壳裂解作用
Noril'sk矿床,典型特征,火山盆地断裂带
Noril'sk矿床,成矿过程,岩浆通道硫化物富集
Kambalda矿床,赋存特征,熔岩流底部硫化物
Voisey's Bay矿床,赋存位置,岩浆房连接通道
PGE矿床,赋存特征,分散硫化物与铬铁矿共生
PGE矿床,成矿标志,Cu/Pd比值升高
硫化物熔离,触发机制,岩浆混染长英质组分
硫化物熔离,定量模型,橄榄石Ni-Fo关系
裂谷系统,成矿类型,早期裂谷矿床
裂谷系统,成矿类型,陆内成熟裂谷矿床
裂谷系统,成矿类型,大洋盆地裂谷矿床
裂谷系统,成矿类型,岛弧裂谷矿床
Duluth杂岩,硫化物来源,含铁建造围岩
橄榄石,地球化学指标,Ni含量与Fo值
Cu/Zr比值,勘查应用,硫化物熔离指示
Bushveld杂岩,成矿特征,挥发分富集
Stillwater侵入体,成矿层位,J-M矿化层
Fox河岩床,PGE分布,韵律层底部富集
岩浆混染,同位素证据,La/Sm-SiO₂正相关
硫同位素,示踪作用,外源硫加入
科马提岩,成矿潜力,硫化物熔离程度
辉绿岩岩床,地球化学特征,亲铜元素亏损
